id|old_id|taxon_id|metadata_id|field_collected_data|data_public_access|filename|username|source|provider_institute_id|provider_name|institute_id|institute_name|is_expert|collection|source_url|botrecat|availability|image|final_image|unique_number|barcode|vno_1|vno_2|voucher_id|x1_family|x1_genus|x1_sp1|x1_author1|x1_rank1|x1_sp2|x1_author2|x1_rank2|x1_sp3|x1_author3|x1_detby|x1_detdate|x1_detdd|x1_detmm|x1_detyy|x1_detstat|x2_family|x2_genus|x2_sp1|x2_author1|x2_rank1|x2_sp2|x2_author2|x2_rank2|x2_sp3|x2_author3|x2_detby|x2_detdate|x2_detdd|x2_detmm|x2_detyy|x2_detstat|x3_family|x3_genus|x3_sp1|x3_author1|x3_rank1|x3_sp2|x3_author2|x3_rank2|x3_sp3|x3_author3|x3_detby|x3_detdate|x3_detdd|x3_detmm|x3_detyy|x3_detstat|is_hybrid|hybrid_memo|tnrs_overall_score|tnrs_source|tnrs_x1_family|tnrs_final_taxon|tnrs_author1|taxon_final|f_x1_genus|f_x1_sp1|f_x1_rank1|f_x1_sp2|f_x1_rank2|f_x1_sp3|annotated_specimen|type|type_memo|collector|addcoll|collnumber|prefix|number|suffix|colldate|colldd|collmm|collyy|final_country|country|iso|final_iso2|adm1|adm2|adm3|adm4|local_area|locality|coord|lat_deg|lat_min|lat_sec|ns|final_ns|latitude|long_deg|long_min|long_sec|ew|final_ew|longitude|llorig|lldatum|georef_history_id|latitude_georef|longitude_georef|distance_georef|georef_flag|alt|final_alt|alt_max|final_alt_max|cult_stat|final_cult_stat|origin_stat|final_origin_stat|soil|slope|aspect|habitat_txt|plant_desc|frequency|fl_code|fr_code|inflo_graminea|vernacular|language|uses|dups|notes|comments|timestamp|coord_check_old|citation|final_lat|final_lon|coord_source|taxstand_family|taxstand_genus|taxstand_sp1|taxstand_sp2|taxstand_author1|taxstand_final_taxon|temp_id|grin_final_taxon|x1_taxon|gbif_genus|gbif_species|collection_code|gbif_references|datasetKey|gbif_rank|origin_stat_inv|iso2|taxon_source|f_x1_family|quality_row|visibility
"223099"|"2911"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"barbata"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25510596"|"Poaceae"|"Avena_barbata"|"Pott ex Link"|"Avena_barbata"|"Avena"|"barbata"||||||||""||||""|||""|""|""|"Jordan"||"JOR"|"JO"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"barbata"|""|"Pott ex Link"|"Avena_barbata"||"Avena_barbata"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223100"|"2912"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"France"||"FRA"|"FR"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223101"|"2913"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Algeria"||"DZA"|"DZ"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223102"|"2914"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Russia"||"RUS"|"RU"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223103"|"2915"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Israel"||"ISR"|"IL"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223104"|"2916"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Russia"||"RUS"|"RU"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223105"|"2917"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Russia"||"RUS"|"RU"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223106"|"2918"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Italy"||"ITA"|"IT"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
"223107"|"2919"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|||"SCG"||""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.391304347826087"|"1"
"223108"|"2920"|||"0"|"1"|"raw_BHAM_AEGRO_2009_OriginalData_Avena_ff.xls"|"Caldern"|"H"|"Bioversity"||||||""|||||||||||"Avena"|"byzantina"|""|||||||||||||||||||||||||||||||||||||||||||||"0"|""|"1"|"http://www.tropicos.org/Name/25509312"|"Poaceae"|"Avena_byzantina"|"K. Koch"|"Avena_sativa"|"Avena"|"sativa"||||||||""||||""|||""|""|""|"Portugal"||"PRT"|"PT"|""|""|""|||""|||||""||||||""|||||||||"0"|""||||""|||||||||||||||||||"2016-04-15 21:41:31"||"Maxted,2012"||||"Poaceae"|"Avena"|"byzantina"|""|"K.Koch"|"Avena_byzantina"||"Avena_sativa"||||||||||"grin"|"Poaceae"|"0.43478260869565216"|"1"
