gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
45490545	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia	Magnolia poasana		SPECIES	Magnolia poasana (Pittier) Dandy	CR	R.F. Los Santos La Chonta. Carrretera Interamericana.	036cdc50-e7f5-11d9-9a0e-b8a03c50a862	9.7	-83.95			2300.0	0.0			1980-03-29T01:00Z	29	3	1980	3153281	3153281	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	76972		Gómez Laurito, Jorge	CC_BY_4_0		Gómez Laurito, Jorge			2017-02-18T20:44Z		GEODETIC_DATUM_ASSUMED_WGS84
45490546	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17344	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB71).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17344	Y98		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490547	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17345	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB72).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17345	Y98		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
45490548	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17346	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB56).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17346	R129		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490549	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Liliopsida	Asparagales	Orchidaceae	Malaxis	Malaxis macrostachya		SPECIES	Malaxis soulei L.O.Williams	CR	P. N. Chirripó Ladera oeste del Cerro Crestón.	036cdc50-e7f5-11d9-9a0e-b8a03c50a862	0.0	0.0			3675.0	0.0			1980-04-14T02:00Z	14	4	1980	2808053	2808047	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	77083			CC_BY_4_0		Gómez Laurito, Jorge			2017-09-21T18:21Z		ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH
45490550	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17347	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB55).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17347	R129		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490551	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17348	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB53).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17348	R151		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
45490552	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17349	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB54).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17349	R151		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490553	848182d0-f762-11e1-a439-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Machaerium	Machaerium biovulatum		SPECIES	Machaerium biovulatum Micheli	CR	Hacienda Tenorio.	036cdc50-e7f5-11d9-9a0e-b8a03c50a862	0.0	0.0			0.0	0.0			1955-02-12T01:00Z	12	2	1955	5355033	5355033	PRESERVED_SPECIMEN	Museo Nacional de Costa Rica (MNCR)	Herbario Nacional de Costa Rica (CR)	77372		Holdridge, Leslie R.	CC_BY_4_0		LRH			2017-09-21T18:21Z		ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH
45490554	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17350	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB64).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17350	R150		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490555	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17351	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB52).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17351	R149		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
45490557	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17352	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB51).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17352	R149		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
45490558	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17353	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB70).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17353	Y97		CC0_1_0		H. Olmo			2017-03-24T11:11Z		
45490559	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17354	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB61).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17354	R144		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
45490563	84de00a0-f762-11e1-a439-00145eb45e9a	DAV:Herbarium:17355	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Vitis			GENUS	Vitis L.	US	California. Yolo County: UC Davis Armstrong Vineyard (NB66).	f0b6a090-a4c6-11d8-9534-b8a03c50a862									1970-05-26T01:00Z	26	5	1970	7467468		PRESERVED_SPECIMEN	DAV	Herbarium	17355	Y93		CC0_1_0		H. Olmo			2017-03-25T09:42Z		
