institutioncode	publishingorgkey	key	endorsingNodeKey	title	description	language	email	phone	homepage	city	country	postalCode	latitude	longitude	numPublishedDatasets	created	modified	
DAV	f0b6a090-a4c6-11d8-9534-b8a03c50a862	f0b6a090-a4c6-11d8-9534-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	University of California, Davis	http://museums.ucdavis.edu/	eng			["http://museums.ucdavis.edu/"]	Davis, California	US		38.53623	-121.75051	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
IBUNAM	b459e790-0d3c-11d9-8431-b8a03c50a862	b459e790-0d3c-11d9-8431-b8a03c50a862	b324e8e9-9a4c-44fa-8f1a-7f39ea7ab576	UNIBIO, IBUNAM	http://digir.unibio.unam.mx	eng			["http://digir.unibio.unam.mx"]		MX				44	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
AAU	8e1a97a0-3ca8-11d9-8439-b8a03c50a862	8e1a97a0-3ca8-11d9-8439-b8a03c50a862	4ddd294f-02b7-4359-ac33-0806a9ca9c6b	Herbarium of the University of Aarhus	http://www.aubot.dk/	eng			["http://www.aubot.dk/"]	Århus	DK		56.16797	10.202	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
INPA	4f160e00-329d-11d9-8439-b8a03c50a862	4f160e00-329d-11d9-8439-b8a03c50a862	8cb55387-7802-40e8-86d6-d357a583c596	Israel Nature and Parks Authority	http://www.parks.org.il/ParksENG/ganim_about.php3	eng			["http://www.parks.org.il/ParksENG/ganim_about.php3"]		IL				22	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
OSC	ac5e8480-3714-11da-bc2e-b8a03c50a862	ac5e8480-3714-11da-bc2e-b8a03c50a862	8618c64a-93e0-4300-b546-7249e5148ed2	Oregon State University		eng	["gbif@science.oregonstate.edu"]	["(541) 737-1000"]	["http://oregonstate.edu"]	Corvallis	US	97331	44.56622	-123.2827	5	2010-05-03T22:02:00.000+0000	2012-01-20T10:09:55.000+0000	
NHMUK	19456090-b49a-11d8-abeb-b8a03c50a862	19456090-b49a-11d8-abeb-b8a03c50a862	d897a5b9-35ee-4232-94bd-b0bcaac003c2	Natural History Museum	http://www.nhm.ac.uk/	eng			["http://www.nhm.ac.uk/"]	London	GB		51.49551	-0.17638	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
Conservatoire botanique national du Bassin parisien	6bcc0290-6e76-11db-bcd5-b8a03c50a862	6bcc0290-6e76-11db-bcd5-b8a03c50a862	da44cd31-5901-4687-a106-6d1c7734ee3a	Conservatoire botanique national du Bassin parisien	http://cbnbp.mnhn.fr/cbnbp/	eng			["http://cbnbp.mnhn.fr/cbnbp/"]	Paris	FR		48.8428	2.3624	1	2010-05-03T22:02:00.000+0000	2010-05-03T22:02:00.000+0000	
STOWA	68a216ee-f721-40cd-932c-84153afd9451	68a216ee-f721-40cd-932c-84153afd9451	0909d601-bda2-42df-9e63-a6d51847ebce	Dutch Foundation for Applied Water Research	STOWA (Dutch acronym for the Foundation for Applied Water Research)coordinates and commissions research on behalf of a large number of local water administrations.	eng	["stowa@nlbif.nl"]	["31(0)33-4603200     "]	["http://www.stowa.nl/"]	Amersfoort	NL	NL-3800 CD			1	2012-03-29T09:32:42.000+0000	2015-02-23T11:33:44.192+0000	
MA	0363cbd4-f666-455e-8e86-0bbddcf51950	0363cbd4-f666-455e-8e86-0bbddcf51950	1f94b3ca-9345-4d65-afe2-4bace93aa0fe	CSIC-Real Jardín Botánico	The Royal Botanical Garden is a Research Institute belonging to the Higher Council of Scientific Research (CSIC) since 1939 and has the singularity of being at the same time a Botanical Garden. Since its inception, it has carried out the basic functions of all botanical gardens: research, conservation and education. The king Fernando VI ordered the creation of the Real Botanical Garden of Madrid that was settled in Huerta de Migas Calientes, beside Manzanares river. It counted with more than 2.000 plants, picked up by the botanical and surgeon José Quer, in his numerous trips by the Iberian Peninsula or obtained by exchange with other European botanists. From 1774, the king Carlos III gave instructions for moving the Botanical Garden to it current location in Paseo del Prado, where it was inaugurated in 1781. Sabatini - royal architect - and Juan de Villanueva - who designed the Prado Museum, the Astronomical Observatory of Madrid and other works - were taken charge of the project. During those years, the three staggered terraces were built, the plants were ordered according to the Linnean method and the railing that surrounds the Garden, the vine arbours and the greenhouse - Villanueva pavilion - were built. From their creation, the teaching of the Botany was developed in the Royal botanical Garden, expeditions were favored to America and the Pacific, drawings of collections of sheets took charge and important herbaria that served of base to describe new species for the Science were gathered. In 1808, the Independence war brought to the Garden years of abandonment and sadness. In this time, the efforts of Mariano de La Gasca to maintain the Garden in the European scientific currents are prominent. In 1857, being Mariano de la Paz Graells director the Royal Botanical Garden, Important reformations, as the hothouse and the superior terrace remodeling were carried out. Also in time of Graells, a zoological garden was settled. Twelve years later, being Miguel Colmeiro director of the Botanical Garden, the zoo was moved to the Jardín del Buen Retiro. In the decade of 1880-1890, the Garden underwent important losses. In 1882 two hectares are segregated to build the building that at the moment occupies the Ministry of Agriculture. In 1886, a hurricane demolished 564 trees of great value. In the first third of the twenty century, serious research in mycology began, and the research in micromycetology adquires a high scientific level. In 1939, the Royal Botanical Garden was included in Consejo Superior de Investigaciones Científicas an Institution of the Sciences and Techniques Spanish Ministery. In 1942, the Garden is declared Artistic Monument. In 1974, after decades of penury and abandonment, the Royal Botanical Garden was closed to the public to approach deep restoration works that finished returning him it original style. In 1981, coinciding with the bicentennial of their moving, the reformations were inaugurated by SS.MM. the Kings of Spain. In 1993 SS.MM. the Kings inaugurated the modern exhibition hothouse. The Real Jardín Botánico holds the most important collection of cryptogams of the Iberian Peninsula. Over 100,000 specimens kept, databased and available via Internet at http://www.rjb.csic.es/herbario/crypto/crywelco.htm Over 100,000 specimens of Algae, Bryophytes, Fungi and Lichens kept, databased and available via Internet at http://www.rjb.csic.es/herbario/crypto/crydb.htm Over 800,000 plants kept, currently being databased. Important collections from the Iberian Peninsula, Western Mediterranea region, the Ameericas, Philippines, Equatorial Guinea and Panama.Information available at:http://www.rjb.csic.es/colecciones/herbario/fanero.htm	eng	["direccion.rjb@csic.es"]	["+34-914203017"]		Madrid	ES	28014			12	2013-07-09T14:02:18.000+0000	2017-06-19T12:28:17.042+0000	
CHR	6b2f029b-7823-4b84-9c30-31ff364238fe	6b2f029b-7823-4b84-9c30-31ff364238fe	4f9fd726-20dd-445e-89a1-8ed93792276f	Landcare Research	One of eight Crown Research Institutes (CRIs), Landcare Research’s core purpose is to drive innovation in the management of terrestrial biodiversity and land resources. Our goal is to both protect and enhance the land environment and grow the country’s prosperity.    There are nine Landcare Research offices around New Zealand. Our Head Office is in Lincoln.	eng		["03 321 9999"]	["http://www.landcareresearch.co.nz/"]	Lincoln	NZ	7608			9	2012-09-27T09:03:39.000+0000	2012-09-27T09:03:39.000+0000	
